	AB1	AB1.1	AB1.2	AB1.3	AB1.4	AB1.5	AB2	AB2.1	AB2.2	AB2.3	AB2.4	AB2.5	AB3	AB3.1	AB3.2	AB3.3	AB3.4	Fe1	Fe1.1	Fe1.2	Fe1.3	Fe1.4	Fe1.5	Fe2	Fe2.1	Fe2.2	fe2	Fe2.3	Fe2.4	Fe3	Fe3.1	Fe3.2	Fe3.3	Fe3.4	Fe3.5	NL1	NL1.1	NL1.2	NL1.3	NL2	NL2.1	NL2.2	NL2.3	NL3	NL3.1	NL3.2	NL3.3	NL4	NL4.1	NL4.2	NL4.3	NL4.4	NL4.5	NL5	NL5.1	NL5.2	NL5.3	NL5.4	NL5.5	NL6	NL6.1	NL6.2	NL6.3	NL6.4	NL6.5	S1	S1.1	S1.2	S1.3	S1.4	S1.5	S2	S2.1	S2.2	S2.3	S2.4	S2.5	S3	S3.1	S3.2	S3.3	S3.4	S3.5
ASV_883	0	0	0	0	0	0	0	0	1	3	2	10	0	0	0	0	0	0	0	0	5	18	14	0	15	13	4	27	88	0	0	0	0	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_884	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	1	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	121	0	3	1	4	0	15	0	0	0	0	0	1	0	0	1	0	2	29	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_885	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	18	9	0	32	16	6	27	8	0	4	1	0	8	3	0	0	8	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	51	13	0	1	0	0	0	0	0	0	0	0	0	0
ASV_886	0	0	0	0	0	9	0	0	1	0	0	5	0	0	1	1	3	0	0	0	0	1	42	0	0	7	0	11	50	0	0	1	1	9	43	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	4	4	0	0	0	1	1	3	0	0	0	0	0	0	0	0	2	3	9	2	0	0	0	0	0	0	0	0	0	0	0	1
ASV_887	0	0	0	0	0	0	0	0	0	200	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	4	0	0	0	1	0	1	0	0	0	1	0	0
ASV_888	0	0	0	0	0	0	0	0	0	200	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	1	0	0
ASV_889	18	9	12	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	93	7	1	2	2	3	3	1	0	2	4	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	1	3	0	15	5	4	2	1	2	0
ASV_890	7	1	0	0	0	0	4	1	1	0	0	0	1	1	1	1	2	0	0	0	0	1	2	20	4	4	1	1	1	12	0	0	0	1	0	2	0	0	1	0	1	0	0	0	1	2	4	5	0	2	1	0	1	27	1	1	1	0	1	2	0	0	6	0	41	33	1	0	1	1	1	0	1	0	4	0	0	3	1	1	2	0	2
ASV_891	0	0	0	0	1	7	0	0	0	1	0	7	0	3	0	0	0	0	0	0	0	2	22	0	0	5	2	11	45	0	0	0	0	10	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	9	0	0	0	4	3	2	0	0	0	0	0	0	0	0	3	2	9	7	0	0	1	1	0	2	0	1	0	0	0	2
ASV_892	0	43	59	0	8	33	0	0	0	3	3	8	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	30	20	0	1	0	2	0	0	0	0	0	0	0	0
ASV_893	0	0	12	0	1	0	0	0	0	2	0	0	3	3	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	40	0	1	0	3	1	3	6	0	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	9	0	8	88	4	2	0	0	0	1	3	0	0	0	7	0	4	2
ASV_894	0	0	2	0	0	1	3	0	1	0	1	0	2	1	1	0	0	13	9	9	16	7	2	7	0	4	12	0	1	2	11	14	20	7	5	0	1	0	0	0	2	2	0	1	3	0	0	7	0	1	0	2	0	4	0	0	1	0	0	0	0	7	0	2	1	5	4	2	4	1	0	3	0	3	0	2	1	0	2	0	5	0	0
ASV_895	47	18	5	0	1	2	5	0	1	0	0	1	5	0	0	0	0	1	1	0	0	0	0	9	1	1	0	0	1	25	3	0	0	0	0	6	1	0	0	26	0	0	0	3	1	2	0	14	0	2	2	2	0	2	1	0	0	1	0	14	0	0	0	0	0	5	1	0	0	0	1	2	0	0	0	0	1	0	1	0	0	1	0
ASV_896	25	16	10	0	1	1	31	4	6	10	2	1	10	3	1	0	0	0	0	1	0	1	0	1	2	3	0	0	3	8	0	0	0	1	0	6	0	2	1	0	2	0	0	2	0	0	0	4	2	2	1	0	1	5	0	0	1	1	0	4	3	0	1	1	0	6	0	1	3	0	0	0	4	0	3	1	2	6	4	1	4	0	1
ASV_897	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	18	11	1	29	11	4	31	11	0	2	0	0	13	1	0	1	4	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	52	7	0	1	0	0	0	0	0	0	0	0	0	0
