	AB1	AB1.1	AB1.2	AB1.3	AB1.4	AB1.5	AB2	AB2.1	AB2.2	AB2.3	AB2.4	AB2.5	AB3	AB3.1	AB3.2	AB3.3	AB3.4	Fe1	Fe1.1	Fe1.2	Fe1.3	Fe1.4	Fe1.5	Fe2	Fe2.1	Fe2.2	fe2	Fe2.3	Fe2.4	Fe3	Fe3.1	Fe3.2	Fe3.3	Fe3.4	Fe3.5	NL1	NL1.1	NL1.2	NL1.3	NL2	NL2.1	NL2.2	NL2.3	NL3	NL3.1	NL3.2	NL3.3	NL4	NL4.1	NL4.2	NL4.3	NL4.4	NL4.5	NL5	NL5.1	NL5.2	NL5.3	NL5.4	NL5.5	NL6	NL6.1	NL6.2	NL6.3	NL6.4	NL6.5	S1	S1.1	S1.2	S1.3	S1.4	S1.5	S2	S2.1	S2.2	S2.3	S2.4	S2.5	S3	S3.1	S3.2	S3.3	S3.4	S3.5
ASV_310	0	0	0	0	0	5	0	0	8	14	5	41	0	1	4	7	26	0	11	76	40	17	21	0	42	34	12	9	35	0	7	5	1	6	27	0	4	6	18	0	2	0	3	0	4	3	15	0	0	0	0	1	0	0	3	20	16	22	19	0	0	0	0	0	0	0	2	13	23	20	30	0	2	47	40	5	24	0	3	6	16	13	28
ASV_311	3	0	4	0	2	1	0	2	0	0	2	0	1	1	0	0	1	1	1	4	0	0	3	0	6	15	4	400	338	4	1	1	0	6	5	0	2	1	3	4	0	1	0	5	5	0	1	0	0	0	1	0	0	0	1	2	1	1	0	0	0	0	4	0	1	0	4	1	0	0	1	1	0	1	1	0	1	4	3	1	2	0	0
ASV_312	1	2	1	0	2	4	0	4	3	2	4	4	4	1	1	1	0	3	1	2	1	5	4	0	14	21	0	371	321	1	3	2	1	6	7	0	3	1	1	2	1	1	1	2	10	1	2	3	2	0	0	0	0	0	1	0	0	1	1	2	0	0	3	1	1	2	0	4	0	1	0	0	2	0	3	2	0	1	3	2	0	0	2
ASV_313	5	2	3	0	8	9	1	0	0	0	1	1	0	0	0	1	0	0	0	1	5	142	70	0	49	30	45	66	48	0	7	4	2	6	2	5	19	166	58	0	0	4	34	0	6	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	42	3	0	2	3	1	0	0	0	0	0	0	0	1
ASV_314	0	20	39	1	83	28	0	14	63	70	23	24	0	1	1	7	1	0	35	58	22	38	20	0	47	27	21	16	36	0	1	3	2	1	4	0	3	0	4	0	8	34	11	0	15	15	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	8	13	0	0	1	1	1	3	0	6	2	1	0	0
ASV_315	0	0	4	0	8	7	0	69	48	9	4	8	6	42	15	6	5	2	1	2	0	2	8	0	57	38	2	21	15	18	14	9	2	14	34	0	5	6	21	5	1	1	0	8	18	19	8	2	5	5	0	4	1	0	2	4	7	3	2	1	0	0	0	1	0	0	34	18	19	14	6	5	1	2	2	0	15	36	50	20	17	6	6
ASV_316	0	0	0	0	0	5	0	2	7	18	6	32	0	1	6	4	17	0	10	74	40	16	26	0	47	22	13	17	33	0	3	7	0	11	32	0	6	3	26	0	0	1	7	0	2	10	19	0	0	1	0	0	0	0	4	10	15	31	24	0	0	0	0	0	0	0	0	14	25	34	34	0	1	51	20	1	20	0	2	6	6	11	13
ASV_317	349	42	27	0	4	3	218	56	14	1	1	1	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	49	5	3	0	0	1	33	0	3	0	0	0
ASV_318	0	0	0	0	5	11	0	24	29	36	2	11	0	5	16	7	23	0	2	30	15	62	117	0	7	39	18	47	18	0	2	18	10	50	58	0	4	5	21	0	4	1	4	0	0	5	0	0	0	8	4	9	5	1	0	0	0	4	9	0	0	3	2	1	0	0	0	15	13	16	18	0	0	0	10	0	8	0	1	3	3	1	1
ASV_319	347	49	18	0	3	5	236	48	8	2	2	1	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	3	1	0	2	32	2	0	1	1	0
ASV_320	0	3	8	0	3	54	0	0	7	4	6	11	0	0	0	0	31	0	0	2	4	0	5	0	1	7	0	0	17	0	2	1	0	7	16	0	0	0	1	0	1	5	3	0	3	1	5	0	5	2	3	9	11	0	0	0	0	0	0	3	3	4	0	0	0	0	2	1	3	38	32	0	26	21	23	8	61	0	79	87	93	39	76
ASV_321	1	2	11	0	5	7	0	68	46	9	5	7	8	29	12	7	4	2	1	1	0	1	16	0	64	27	3	13	17	23	9	9	1	20	33	0	6	5	16	5	2	0	0	9	15	20	5	0	8	5	1	2	0	0	4	0	5	0	1	4	0	0	2	2	0	0	42	23	18	10	11	2	4	5	1	0	12	24	54	15	16	12	7
ASV_322	0	1	9	0	17	8	0	3	27	27	5	21	0	2	4	2	13	0	0	13	9	14	14	0	45	77	29	19	24	0	7	14	4	15	31	0	5	10	33	0	7	4	10	0	2	17	21	0	11	9	3	11	4	0	1	0	6	9	31	13	7	5	0	0	0	0	21	29	32	13	10	0	1	2	0	0	5	0	20	11	11	1	3
ASV_323	0	4	6	0	7	6	0	42	48	11	5	8	2	30	15	3	6	2	0	0	0	0	13	0	44	34	5	18	24	21	13	8	1	21	36	0	7	6	13	6	2	0	0	9	18	18	5	0	7	5	1	3	1	0	4	1	12	0	4	0	1	2	3	0	1	0	45	20	22	9	11	5	2	2	1	0	8	36	52	19	21	6	9
ASV_324	4	1	2	0	7	5	34	5	2	7	3	4	2	10	1	2	2	0	0	2	0	0	0	2	6	12	3	4	1	10	4	2	2	6	8	98	9	6	15	1	0	1	0	40	20	22	17	3	1	7	0	2	0	1	8	0	7	10	2	0	0	1	281	2	0	0	2	4	6	2	1	7	18	5	15	5	13	15	5	7	11	2	2
ASV_325	1	3	5	0	6	10	1	60	41	12	5	15	6	31	18	5	6	1	0	2	0	1	17	0	56	24	7	21	16	21	13	5	0	14	42	0	5	11	15	4	2	2	2	15	15	22	3	0	6	6	2	4	2	0	4	3	5	2	2	2	0	0	0	0	0	0	21	26	18	15	11	3	3	1	5	0	11	29	42	12	15	10	5
ASV_326	3	1	2	0	10	4	0	1	0	0	1	0	0	0	0	1	0	0	0	2	4	140	56	0	44	29	52	81	41	0	7	2	0	9	1	1	20	151	43	0	4	3	26	1	6	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	53	7	0	6	7	0	0	0	0	0	0	0	0	0
ASV_327	10	6	2	0	1	1	98	14	7	3	1	4	5	1	1	0	3	1	1	6	2	1	0	18	13	10	1	5	4	6	0	1	1	3	0	8	1	1	3	11	0	1	0	4	1	1	1	10	14	12	14	44	4	0	5	6	7	7	2	86	23	14	35	1	1	0	9	69	152	14	12	0	2	1	0	0	1	7	5	3	1	1	0
ASV_328	0	29	37	0	75	28	1	7	65	70	21	26	0	1	0	4	1	0	25	59	34	37	16	0	41	27	23	14	40	0	1	6	0	1	3	0	1	6	3	1	3	22	14	0	16	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	9	15	0	0	0	2	0	4	0	5	0	1	0	1
ASV_329	0	0	0	0	5	19	0	31	23	34	4	8	0	5	21	12	21	0	0	19	11	54	113	0	8	44	9	34	22	0	5	23	4	48	58	1	5	4	14	0	3	1	3	0	1	0	1	0	0	6	4	15	2	0	0	0	2	7	7	0	1	1	0	0	1	0	0	9	15	15	20	0	0	5	11	2	9	0	4	6	2	2	8
ASV_330	0	27	86	0	20	27	0	4	14	28	4	21	0	1	17	6	15	1	0	0	0	2	8	0	3	17	15	28	38	3	2	1	1	3	21	0	0	0	8	0	1	10	7	0	0	8	18	0	2	27	9	19	7	0	0	0	2	1	5	0	1	1	37	7	0	0	3	5	25	12	13	1	0	13	17	0	19	1	22	40	40	11	13
ASV_331	4	13	1	0	6	164	0	0	11	3	70	7	1	5	2	14	5	0	2	7	3	8	48	0	20	14	0	23	38	41	1	13	0	20	41	0	15	6	13	3	3	20	4	11	5	3	1	0	19	4	5	2	3	0	6	1	6	3	0	6	7	3	29	0	0	0	1	20	2	2	1	4	2	1	2	0	1	12	1	0	1	0	0
ASV_332	2	2	11	0	13	16	0	1	5	7	3	9	0	1	2	1	1	0	1	7	17	11	28	1	1	0	0	2	2	1	0	0	0	0	1	0	1	0	0	1	0	2	2	0	1	0	0	0	2	3	3	35	8	0	0	4	7	8	10	1	12	13	377	1	0	0	0	2	2	10	20	0	5	24	33	8	39	0	1	6	10	7	8
ASV_333	0	15	41	1	71	35	0	10	54	69	24	20	0	0	1	4	0	0	26	49	27	32	37	0	36	27	13	14	33	0	1	3	1	0	1	0	6	1	6	1	6	45	13	0	15	17	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	9	6	14	0	0	0	1	0	6	0	6	1	0	0	0
ASV_334	337	40	17	0	3	4	234	57	13	0	0	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	42	2	2	0	1	1	24	2	0	2	0	0
ASV_335	1	41	21	0	53	15	1	4	1	2	2	0	0	0	0	1	1	0	3	72	26	12	2	0	16	1	11	6	2	2	16	0	2	36	17	0	12	63	23	0	12	200	50	0	1	0	0	3	0	6	19	12	2	1	1	0	0	0	1	3	10	7	0	0	0	2	0	0	1	0	1	1	4	0	0	0	1	0	4	0	0	0	0
ASV_336	1	8	16	0	13	7	2	1	1	6	1	5	0	0	0	0	0	1	0	10	12	16	27	0	0	1	0	1	3	0	0	2	0	1	0	0	0	1	1	0	0	3	1	1	0	1	1	0	1	1	3	30	5	0	0	4	4	3	7	2	11	9	440	4	2	1	2	2	5	8	17	1	5	13	17	10	33	1	0	2	3	4	12
ASV_337	0	2	6	1	24	10	0	6	30	17	8	12	0	1	7	8	11	0	1	14	6	6	9	1	41	68	32	17	27	0	4	13	6	11	27	0	8	13	34	0	2	2	18	0	4	21	24	0	15	13	7	9	7	0	1	0	3	8	25	10	10	10	0	0	0	0	14	20	27	19	10	0	0	1	1	0	5	0	10	10	11	1	6
ASV_338	13	6	4	0	1	0	98	8	5	0	0	1	1	8	1	1	1	0	3	4	4	0	1	19	4	10	1	7	1	2	2	1	1	2	2	11	1	1	2	6	1	0	0	5	1	1	1	9	12	24	13	37	9	0	1	7	14	3	2	90	28	13	27	0	1	0	10	65	145	13	16	1	0	1	2	1	2	7	5	0	1	0	1
ASV_339	0	1	0	0	1	2	38	12	9	5	2	5	1	7	0	1	3	1	0	2	0	0	0	6	7	12	1	1	1	10	4	3	1	9	8	76	16	7	10	0	1	0	0	55	19	13	25	1	0	1	0	1	0	0	13	5	6	7	7	1	1	0	250	1	2	1	2	4	7	0	1	7	23	4	14	3	14	17	2	11	11	4	4
ASV_340	2	0	5	0	1	0	36	6	4	7	2	5	3	5	1	4	1	0	0	1	0	0	0	0	4	6	1	4	1	11	1	2	1	7	6	84	12	4	9	3	0	0	1	46	24	22	17	0	4	5	2	3	2	1	9	5	9	5	3	2	2	2	268	3	2	0	2	4	2	3	2	12	17	12	10	2	17	12	7	8	9	0	3
ASV_341	0	1	4	0	21	13	0	5	20	17	5	18	0	0	3	10	10	0	0	12	6	10	7	1	43	73	28	21	27	0	5	5	1	19	40	0	6	12	30	0	5	3	10	0	2	27	19	0	12	17	6	16	4	0	1	1	6	11	20	11	7	3	0	0	0	0	16	18	27	15	11	0	0	1	2	0	8	0	19	11	11	2	2
ASV_342	0	7	5	0	8	6	0	51	57	8	3	5	9	32	13	5	5	1	1	1	0	2	10	0	52	38	5	16	11	17	9	8	2	9	40	0	7	7	12	6	1	1	0	6	13	25	7	0	9	4	1	5	2	0	1	0	5	1	2	1	2	0	0	1	1	0	38	26	22	13	15	2	0	4	3	0	14	23	36	13	12	4	8
ASV_343	2	2	1	0	15	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	124	64	0	64	20	28	60	54	0	5	0	0	9	3	1	16	157	53	0	1	2	27	2	7	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	2	0	0	0	0	0	1	0	34	11	0	1	5	0	0	0	0	0	0	0	0	1
ASV_344	312	40	16	0	5	5	238	45	13	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	46	1	1	1	0	0	29	1	1	0	0	1
ASV_345	0	4	1	0	3	41	0	1	4	6	0	9	0	2	0	0	40	0	0	0	5	1	6	0	2	3	2	0	12	0	1	0	0	8	10	0	1	0	1	0	1	5	5	0	4	1	6	0	2	4	5	13	10	0	0	0	1	0	0	1	3	1	0	0	0	0	2	0	1	50	50	0	23	16	10	9	48	0	79	81	99	46	39
ASV_346	0	0	1	0	1	0	0	0	0	0	0	1	6	0	1	0	0	84	35	35	50	42	9	12	13	22	74	10	0	1	49	27	83	57	31	0	0	1	1	0	2	1	0	1	4	0	0	10	0	0	0	5	0	9	0	3	4	0	3	3	3	2	0	0	1	31	23	4	4	1	3	1	0	1	0	0	4	2	2	0	3	0	0
ASV_347	0	0	0	0	0	1	0	0	6	16	6	20	0	2	4	4	13	0	5	56	36	14	35	0	47	25	15	12	33	0	5	2	1	15	27	0	5	3	24	1	4	2	3	0	3	3	18	0	0	0	0	1	0	0	6	13	22	33	17	0	0	0	0	2	0	0	3	8	25	22	23	0	1	47	20	4	21	0	5	5	8	10	13
ASV_348	0	35	29	0	64	2	1	0	0	0	3	1	1	0	0	0	0	0	6	71	13	16	6	0	16	6	17	7	5	2	12	2	0	34	7	1	5	49	26	0	11	186	54	0	0	0	0	1	0	9	15	16	6	0	0	0	0	1	0	3	8	9	1	1	0	0	0	0	1	1	0	2	8	0	0	0	1	1	1	0	0	0	0
ASV_349	0	1	7	0	36	7	0	4	23	21	9	15	0	4	6	4	15	0	1	7	9	8	9	0	55	58	19	13	30	0	8	7	4	11	29	0	10	6	27	0	2	2	6	0	1	20	23	0	15	8	2	15	4	0	0	4	6	3	23	7	8	4	0	0	0	0	26	19	31	14	12	0	1	2	2	1	7	0	9	9	15	2	6
ASV_350	1	1	0	0	0	1	2	291	160	1	0	3	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2	1	1	0	1	0	1	0	0	1	0	2	0	0	0	5	244	4	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	12	15	2	3	0	1
ASV_351	0	1	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	75	50	38	63	32	14	14	9	18	53	14	1	1	34	34	90	43	31	0	0	4	1	0	3	0	0	1	5	0	0	3	0	5	0	4	0	12	1	2	2	1	2	0	2	1	2	2	1	39	27	5	6	2	5	0	1	1	1	0	0	0	0	0	5	0	1
ASV_352	1	6	3	0	4	1	6	3	5	3	2	1	15	2	4	3	1	35	17	13	24	12	4	3	1	4	27	7	12	12	29	18	20	11	13	1	0	5	4	2	4	2	0	3	30	3	3	79	5	23	1	2	2	13	3	42	35	14	16	9	15	6	21	2	6	19	11	1	8	4	9	4	0	1	0	6	1	2	3	10	12	2	0
ASV_353	1	2	9	0	0	40	0	0	4	3	0	7	0	0	0	0	43	0	1	4	4	1	4	0	1	0	0	1	14	0	0	0	0	7	17	0	1	0	0	0	1	5	3	1	2	2	5	0	1	2	5	10	13	0	0	1	0	0	0	2	3	4	0	0	0	0	1	1	3	60	52	0	16	28	7	14	45	0	63	94	72	37	47
ASV_354	324	29	7	0	1	0	220	50	11	1	1	0	18	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	4	0	1	0	2	30	2	2	0	0	0
ASV_355	1	0	0	0	0	4	0	1	11	16	7	35	0	3	3	3	16	0	7	53	34	18	29	0	41	27	8	9	23	0	10	4	1	15	20	0	3	4	19	0	2	2	5	0	3	5	12	0	0	0	0	0	1	0	6	17	13	29	18	0	0	0	1	0	0	0	6	5	23	36	39	0	1	36	20	2	17	0	5	1	9	10	12
ASV_356	0	0	0	0	0	2	0	0	14	11	4	34	0	1	1	4	25	0	8	65	32	16	33	0	44	24	9	5	28	0	8	6	0	11	20	0	2	2	19	0	0	3	4	0	1	7	12	0	0	2	0	0	0	0	2	15	18	23	23	0	0	1	0	1	0	0	4	9	24	28	32	0	0	32	23	0	25	0	8	2	4	12	18
ASV_357	0	22	37	0	68	24	0	9	56	60	22	25	0	1	0	4	3	0	31	57	26	27	23	0	48	27	22	12	25	0	0	2	2	2	2	0	2	2	4	0	8	24	13	0	14	11	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	8	5	11	0	0	0	1	0	6	0	6	1	0	0	0
ASV_358	0	5	6	0	18	18	0	1	18	23	5	25	0	2	8	7	12	0	2	9	4	9	17	0	52	73	25	16	20	0	9	8	0	13	22	0	7	12	27	0	3	1	11	0	1	23	19	0	9	6	7	14	4	0	3	1	6	4	24	5	5	10	0	0	0	0	19	13	20	7	10	0	1	1	4	0	7	0	23	13	6	3	4
ASV_359	0	3	0	0	0	1	2	297	145	4	1	3	0	2	0	0	0	1	0	2	0	0	0	0	0	0	0	2	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	10	236	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	0	0	2	0	0	1	0	0	0	0	0	18	9	1	1	1	1
ASV_360	8	1	5	0	1	0	92	13	7	5	0	3	5	6	0	1	4	0	3	5	0	0	1	21	9	11	3	2	2	2	0	0	0	4	0	10	1	0	3	6	1	0	0	1	0	2	3	4	23	12	12	28	10	0	2	4	7	2	1	87	22	15	23	0	0	0	8	76	133	16	10	0	4	0	2	0	3	3	3	0	1	0	0
ASV_361	0	0	4	0	27	10	0	5	23	28	5	17	0	4	2	8	10	0	1	6	10	11	7	0	43	65	27	19	24	0	5	6	0	12	31	0	4	8	23	0	3	7	8	0	5	19	14	0	16	12	9	9	5	0	1	2	5	7	19	13	3	5	2	2	0	0	20	18	28	16	20	0	0	0	2	0	4	0	13	6	7	0	4
ASV_362	1	1	0	0	16	2	1	1	1	0	0	1	1	0	0	1	0	0	0	0	4	161	62	0	55	25	39	50	31	0	11	4	0	8	0	2	14	131	34	0	3	5	28	0	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	3	0	1	0	0	0	0	0	0	0	0
ASV_363	2	1	0	0	1	0	0	2	2	0	1	0	1	0	0	3	0	2	2	0	2	1	2	0	13	19	0	336	288	3	1	1	0	5	5	1	2	1	0	1	0	2	0	1	1	0	0	2	0	2	0	1	0	0	1	0	1	1	0	1	1	1	3	1	3	0	0	1	0	3	0	1	2	1	0	1	2	3	3	1	1	2	1
ASV_364	0	0	0	0	0	2	0	1	10	11	2	26	0	3	4	2	15	0	5	59	19	14	31	0	43	22	14	5	36	0	7	8	0	10	22	0	1	9	19	0	3	1	3	0	1	14	13	0	0	0	0	0	0	0	3	19	19	31	17	0	1	0	0	3	0	0	2	13	21	26	36	0	1	39	17	2	20	0	6	5	8	5	13
ASV_365	1	2	2	0	4	3	27	13	3	4	0	2	2	3	0	1	2	1	1	1	1	1	0	4	4	5	2	1	2	10	1	1	1	5	3	63	11	5	7	1	0	2	0	36	21	10	11	1	0	7	0	3	0	0	12	2	9	5	4	1	1	1	295	0	1	1	0	5	2	1	2	13	20	7	15	4	11	8	3	9	10	5	2
ASV_366	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	52	40	27	58	36	7	13	7	21	69	16	0	0	43	29	91	45	28	2	2	4	0	1	3	0	0	1	2	0	0	11	2	2	0	11	0	9	1	2	1	1	1	4	2	1	1	0	0	44	17	7	2	1	0	0	0	2	0	2	1	2	2	1	6	0	0
ASV_367	2	30	20	0	72	6	1	0	4	2	2	1	0	0	0	1	0	0	6	72	10	14	5	0	12	2	15	2	3	0	8	4	1	31	11	1	5	47	18	1	16	167	62	1	2	0	0	0	0	15	16	11	3	0	0	0	0	0	0	3	6	9	1	2	0	0	0	0	1	0	0	0	7	1	1	0	1	0	0	1	0	1	0
ASV_368	0	0	0	0	0	1	0	0	10	13	8	30	0	2	3	1	15	0	5	45	39	6	30	0	43	24	15	8	35	0	9	8	2	14	19	0	3	9	21	0	1	1	1	0	2	5	18	0	0	0	0	0	0	0	2	15	17	18	20	1	0	0	1	1	0	0	5	8	19	29	38	0	0	40	18	2	18	0	6	2	5	7	15
ASV_369	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	80	46	37	41	26	10	11	9	26	72	12	0	0	40	24	98	34	33	0	1	3	1	1	2	2	1	0	1	0	1	5	1	6	0	2	1	2	0	3	6	0	2	2	1	1	0	0	1	31	20	5	7	1	4	1	1	1	2	0	0	0	4	1	1	1	1
ASV_370	0	0	0	0	0	2	0	286	134	3	1	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	5	246	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	19	8	1	1	0	0
ASV_371	3	2	4	0	4	1	40	11	3	6	3	5	3	4	1	1	1	1	1	3	2	2	1	4	7	6	1	1	3	9	2	1	0	4	5	77	13	5	13	3	0	0	1	31	16	18	12	3	0	4	0	1	0	1	8	6	3	10	4	1	1	0	251	1	2	0	0	3	12	1	0	5	12	5	9	5	11	9	5	2	8	2	5
ASV_372	0	2	5	0	27	10	0	5	16	20	7	17	0	4	8	3	5	0	0	9	4	8	9	0	54	65	28	14	19	0	5	9	3	17	35	0	6	8	26	1	1	5	12	0	0	22	23	0	13	8	10	11	3	0	2	1	6	5	24	6	7	8	0	0	0	0	16	13	15	17	11	0	0	3	1	0	5	0	8	7	10	0	0
ASV_373	0	2	21	0	6	12	0	1	1	10	2	8	0	0	1	0	0	0	0	7	16	10	33	1	2	1	0	0	2	2	0	0	0	3	1	0	1	0	1	0	2	2	3	1	0	0	0	0	0	4	0	33	4	0	0	2	3	6	15	1	7	9	338	0	0	0	1	1	6	17	13	2	3	18	10	11	28	0	0	1	12	6	17
ASV_374	0	2	5	1	15	12	0	6	23	22	6	20	0	3	6	5	10	0	0	7	7	8	10	0	40	59	22	22	25	0	4	7	2	10	21	0	4	16	45	0	4	3	13	0	2	13	16	0	9	9	1	11	4	0	2	1	6	9	20	8	7	4	0	1	0	0	17	12	23	7	10	0	0	3	4	0	9	0	17	6	10	2	3
ASV_375	0	3	13	0	6	11	1	0	6	5	2	6	0	1	1	0	0	0	1	6	13	6	36	0	1	3	0	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	6	1	2	0	1	1	0	7	3	19	6	0	2	3	7	8	7	1	6	9	341	1	0	2	1	2	7	16	16	1	6	16	23	13	30	0	0	2	9	4	5
ASV_376	9	5	8	0	6	8	10	15	7	17	0	4	1	12	11	4	8	3	4	9	4	3	13	9	12	15	9	10	7	2	3	6	1	6	11	9	1	3	5	0	0	3	6	0	1	4	8	0	1	2	3	12	4	0	12	14	29	20	13	14	7	6	72	3	1	0	12	31	73	13	19	0	9	5	14	4	5	6	3	5	4	1	1
ASV_377	0	0	1	0	6	11	0	28	24	31	8	7	0	7	16	14	23	0	0	19	7	36	103	0	7	27	11	30	30	0	1	12	7	39	53	1	3	2	11	0	1	0	3	0	0	2	0	0	0	5	5	10	8	0	0	0	1	4	4	0	0	1	0	0	0	0	0	16	13	16	12	0	0	2	8	0	8	0	1	5	4	2	3
ASV_378	1	21	50	0	9	15	0	4	15	18	5	28	0	1	9	6	14	0	0	2	2	1	11	1	4	9	13	39	33	0	2	4	6	3	23	0	1	0	7	1	2	6	4	0	0	7	9	0	4	19	10	22	7	1	0	2	2	1	0	0	3	3	25	3	0	0	1	6	21	7	15	2	2	12	17	3	20	0	11	43	41	7	12
ASV_379	0	0	0	1	0	0	0	0	9	16	5	26	0	1	2	2	19	0	4	55	36	14	29	0	40	20	4	4	33	0	3	3	1	10	26	0	1	5	20	0	1	0	4	0	2	6	16	0	0	0	0	0	0	0	5	11	9	29	14	0	1	0	0	2	0	0	3	9	18	33	31	0	0	32	23	2	19	0	8	7	10	8	15
ASV_380	0	18	21	0	71	17	0	7	49	63	13	19	0	1	0	1	4	0	25	47	16	35	24	0	47	16	15	9	34	0	2	5	0	0	3	0	3	2	5	2	5	27	7	0	16	13	15	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	6	9	8	9	1	0	1	1	0	2	0	5	3	0	0	0
ASV_381	0	3	12	2	5	5	1	46	38	10	2	6	7	22	12	3	3	0	0	1	0	2	6	0	51	19	5	18	10	27	14	4	1	11	35	0	10	9	14	2	2	1	1	6	10	10	10	0	7	5	3	0	1	0	4	2	4	3	5	2	1	0	0	0	0	0	29	22	17	10	16	5	2	3	3	1	10	20	37	8	22	3	4
ASV_382	0	18	23	0	78	37	0	5	60	62	16	25	0	0	0	5	3	0	25	52	13	27	17	0	30	21	22	16	30	0	2	0	1	1	1	0	6	0	0	0	6	21	8	0	14	15	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	8	4	14	0	0	2	0	0	4	0	5	0	0	0	0
ASV_383	4	3	3	0	2	4	5	5	3	3	1	0	21	1	3	2	0	35	28	13	13	13	4	5	7	9	24	4	13	5	24	19	18	10	6	0	2	0	1	0	4	0	2	1	27	4	1	67	4	17	2	3	1	6	3	36	32	12	14	6	14	6	18	3	3	17	2	3	19	4	4	4	1	1	4	5	2	2	5	2	18	4	2
ASV_384	0	19	3	0	15	3	1	0	0	0	0	0	0	1	4	57	43	1	27	51	48	64	36	1	6	2	5	3	23	0	18	79	14	31	18	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	7	5	0	2	0	0	7	19	24	4	9	0	0	2	11	1	25	0	0	0	0	0	0
ASV_385	0	1	11	0	2	27	0	0	9	3	2	5	0	1	0	0	33	0	0	2	3	1	8	0	3	0	0	0	9	0	2	0	0	4	9	0	0	0	1	0	0	3	3	0	2	5	11	0	3	3	1	11	8	0	0	0	0	0	1	2	7	1	0	0	0	0	1	4	3	39	52	1	20	16	14	11	47	0	61	74	78	31	48
ASV_386	0	0	0	0	7	12	0	18	21	26	1	4	0	2	20	10	15	0	0	20	8	40	95	0	4	29	21	32	27	0	2	33	4	39	45	0	7	1	17	0	5	1	4	0	0	3	1	0	1	5	8	10	6	0	0	0	1	7	5	0	2	1	0	0	1	0	0	9	8	16	14	0	0	1	10	0	3	0	0	6	5	0	4
ASV_387	299	41	8	0	4	7	175	42	9	2	0	1	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	43	2	2	4	0	1	27	0	4	1	0	1
